city_data_df Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Inverell,AU,74.1,scattered clouds,-29.7833,151.1167,Oxford Hotel
294,Catuday,PH,78.76,overcast clouds,16.2923,119.8062,Nina Anchors Inn
297,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
308,Camocim,BR,79.84,overcast clouds,-2.9022,-40.8411,Hotel Dunas
309,Waingapu,ID,80.2,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
310,Vanimo,PG,80.28,heavy intensity rain,-2.6741,141.3028,CBC Guesthouse
319,Padang,ID,75.69,overcast clouds,-0.9492,100.3543,losmen Surya
320,Mahibadhoo,MV,81.41,light rain,3.7833,72.9667,Coral View Inn
328,Makkah al Mukarramah,SA,73.31,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
334,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
342,Puerto Ayacucho,VE,77.11,overcast clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
346,Anloga,GH,81.32,clear sky,5.7947,0.8973,Hotel de White House
347,Famy,PH,78.82,heavy intensity rain,14.4376,121.4482,Gabriel's Resort
348,Mbandaka,CD,72.19,scattered clouds,0.0487,18.2603,Hôtel Epervier
349,Miramar,MX,78.94,haze,22.3333,-97.8667,Calzada Del Sol
351,São José da Coroa Grande,BR,79.09,few clouds,-8.8978,-35.1478,Hotel do Sol
352,Portobelo,PA,77.11,few clouds,9.55,-79.65,Luna Llena Hostal
355,Vao,NC,78.84,light rain,-22.6667,167.4833,Nataiwatch
362,Cayenne,GF,80.64,scattered clouds,4.9333,-52.3333,Central Hôtel
363,Roboré,BO,89.94,broken clouds,-18.3333,-59.75,Lajas
365,Port Lincoln,AU,74.3,overcast clouds,-34.7333,135.8667,Boston Hotel
368,Pontian Kecil,MY,77.02,overcast clouds,1.4801,103.3899,Hotel Wan Loong
370,Dwārka,IN,73.02,clear sky,22.2394,68.9678,The Dwarika Hotel
379,Charlestown,KN,72.91,clear sky,17.1333,-62.6167,Bath Hotel
387,Salalah,OM,71.69,clear sky,17.0151,54.0924,Muscat International Hotel
390,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
394,Pemangkat,ID,76.37,light rain,1.1667,108.9667,Hotel Kelapa Gading
395,Sinnamary,GF,77.76,overcast clouds,5.3833,-52.95,Hôtel du fleuve
396,Nieuw Amsterdam,SR,82.42,few clouds,5.8833,-55.0833,Leonsberg Lodge
397,Sabang,ID,80.28,overcast clouds,5.8933,95.3214,Sabang Hill
398,Maxixe,MZ,74.57,scattered clouds,-23.8597,35.3472,Hotel Herry
402,Teseney,ER,70.18,clear sky,15.11,36.6575,Costina Hotel Teseney Eritrea
404,Luanda,AO,77.63,overcast clouds,-8.8368,13.2343,Hotel Forum
405,Loandjili,CG,76.59,light rain,-4.7561,11.8578,Le Raphia Guest House
407,Meulaboh,ID,75.7,overcast clouds,4.1363,96.1285,Hotel Meuligou
409,Tartagal,AR,78.73,broken clouds,-22.5164,-63.8013,Majoy
410,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Hotel Barlovento
412,Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Coco Villa
414,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
417,Atambua,ID,77.99,overcast clouds,-9.1061,124.8925,Hotel Matahari
418,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
424,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
426,Ambilobe,MG,74.17,clear sky,-13.2,49.05,Hôtel National
427,Las Tunas,CU,72.99,clear sky,20.9617,-76.9511,Hotel Ferroviario
429,Nampula,MZ,75.15,broken clouds,-15.1165,39.2666,Hotel Lurio
431,Aquiraz,BR,81.18,clear sky,-3.9014,-38.3911,Pousada tia Fabíola
440,Luís Correia,BR,84.2,clear sky,-2.8792,-41.6669,Hotel Amaro
441,Ishigaki,JP,71.73,broken clouds,24.3448,124.1572,アートホテル石垣島
446,Camaçari,BR,80.37,overcast clouds,-12.6975,-38.3242,Hotel Uberlândia
448,Pisco,PE,71.65,clear sky,-13.7,-76.2167,La Portada
452,Port Shepstone,ZA,73.24,broken clouds,-30.7414,30.455,The Spot Backpackers'
456,Maceió,BR,78.24,clear sky,-9.6658,-35.7353,Maceió Hostel e Pousada
467,Maracaju,BR,84.49,light rain,-21.6144,-55.1683,Hotel Cachoeira
471,Pedernales,DO,75.4,clear sky,18.0384,-71.744,Hostal Doña Chava
