City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sinnar,SD,2022-12-06 20:37:49,13.5691,33.5672,76.42,35,0,12.41
68,Chuy,UY,2022-12-06 20:37:50,-33.6971,-53.4616,74.26,63,0,10.0
69,Laguna,US,2022-12-06 20:37:50,38.421,-121.4238,59.09,72,0,8.05
70,Narasannapeta,IN,2022-12-06 20:37:51,18.4167,84.05,67.3,76,92,5.03
71,Atuona,PF,2022-12-06 20:37:51,-9.8,-139.0333,77.45,77,82,15.99
72,Cidreira,BR,2022-12-06 20:37:52,-30.1811,-50.2056,72.64,83,12,7.92
73,Shimoda,JP,2022-12-06 20:37:52,34.6667,138.95,44.1,71,20,20.62
74,Havoysund,NO,2022-12-06 20:37:53,70.9963,24.6622,37.63,66,100,16.02
75,Banda Aceh,ID,2022-12-06 20:37:53,5.5577,95.3222,77.34,86,100,12.8
76,Lesnoy,RU,2022-12-06 20:37:54,57.6198,63.0784,-1.26,98,23,5.55
77,Jijiga,ET,2022-12-06 20:37:54,9.35,42.8,60.46,63,13,2.21
78,Kirakira,SB,2022-12-06 20:37:55,-10.4544,161.9205,82.11,81,67,5.37
79,Lehututu,BW,2022-12-06 20:37:55,-23.9667,21.8667,77.61,12,15,10.0
80,Antalaha,MG,2022-12-06 20:37:56,-14.9003,50.2788,71.29,86,2,7.76
81,Ribeira Grande,PT,2022-12-06 20:37:57,38.5167,-28.7,57.6,82,75,21.0
82,Bowen,AU,2022-12-06 20:35:27,-20.0167,148.2333,79.41,62,0,4.34
83,Salinopolis,BR,2022-12-06 20:37:57,-0.6136,-47.3561,81.05,77,46,13.2
84,Lebu,CL,2022-12-06 20:37:58,-37.6167,-73.65,65.32,68,5,7.65
85,Vaini,TO,2022-12-06 20:37:58,-21.2,-175.2,82.56,83,75,8.05
86,Bredasdorp,ZA,2022-12-06 20:37:59,-34.5322,20.0403,60.44,68,32,1.03
87,Verkhnevilyuysk,RU,2022-12-06 20:37:59,63.4453,120.3167,-8.97,97,100,7.2
88,San Pedro,PH,2022-12-06 20:34:48,14.35,121.0167,78.35,85,20,4.61
89,Las Cruces,US,2022-12-06 20:34:45,32.3123,-106.7783,68.76,45,0,13.8
90,Provideniya,RU,2022-12-06 20:38:00,64.3833,-173.3,28.51,80,75,13.42
91,Hermon,US,2022-12-06 20:38:01,44.8101,-68.9134,48.15,75,75,10.36
92,Celestun,MX,2022-12-06 20:38:01,20.8667,-90.4,83.82,56,14,12.06
93,Anadyr,RU,2022-12-06 20:38:02,64.75,177.4833,12.7,85,75,15.01
94,Bulgan,MN,2022-12-06 20:39:03,48.8125,103.5347,-4.41,85,1,3.71
95,Bonanza,NI,2022-12-06 20:39:04,14.0289,-84.591,78.06,66,88,2.91
96,Gushikawa,JP,2022-12-06 20:39:04,26.3544,127.8686,63.63,67,100,12.66
97,Torbay,CA,2022-12-06 20:39:05,47.6666,-52.7314,35.58,97,100,10.0
98,Faanui,PF,2022-12-06 20:39:06,-16.4833,-151.75,80.02,74,17,17.72
99,Kaputa,ZM,2022-12-06 20:39:06,-8.4689,29.6619,68.0,90,84,4.5
