City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,São José da Coroa Grande,BR,-8.8978,-35.1478,79.09,81,18,13.8,few clouds
352,Portobelo,PA,9.55,-79.65,77.11,82,13,10.87,few clouds
353,Kayes,ML,14.0,-11.0,83.03,15,0,6.44,clear sky
354,Nālūt,LY,30.3333,10.85,68.29,22,84,11.88,broken clouds
355,Vao,NC,-22.6667,167.4833,78.84,80,0,9.31,light rain
356,Gazojak,TM,41.1875,61.4036,19.99,48,0,12.33,clear sky
357,Iqaluit,CA,63.7506,-68.5145,1.13,78,100,8.05,light snow
358,Hengyang,CN,26.8881,112.615,45.66,79,2,3.47,clear sky
359,Sault Ste. Marie,CA,46.5168,-84.3333,25.09,74,0,4.61,clear sky
360,Karoi,ZW,-16.8099,29.6925,65.8,87,100,2.8,light rain
361,Sobolevo,RU,54.4299,31.8996,25.75,98,100,4.09,light snow
362,Cayenne,GF,4.9333,-52.3333,80.64,78,40,4.61,scattered clouds
363,Roboré,BO,-18.3333,-59.75,89.94,43,55,7.31,broken clouds
364,Middelburg,ZA,-25.7751,29.4648,61.11,72,21,4.05,few clouds
365,Port Lincoln,AU,-34.7333,135.8667,74.3,50,95,13.85,overcast clouds
366,Tezu,IN,27.9167,96.1667,59.22,47,1,3.89,clear sky
367,Marshfield,US,44.6689,-90.1718,31.08,74,100,13.8,overcast clouds
368,Pontian Kecil,MY,1.4801,103.3899,77.02,90,100,8.59,overcast clouds
369,Båtsfjord,NO,70.6345,29.7185,22.93,93,40,16.11,light snow
370,Dwārka,IN,22.2394,68.9678,73.02,52,0,9.28,clear sky
371,Sakaiminato,JP,35.55,133.2333,39.18,100,40,3.44,scattered clouds
372,Westport,IE,53.8,-9.5167,38.82,88,75,4.56,broken clouds
373,Kaeo,NZ,-35.1,173.7833,72.32,86,100,7.65,overcast clouds
374,Minudasht,IR,37.2289,55.3747,44.01,76,18,1.59,few clouds
375,Ballina,IE,54.1167,-9.1667,38.71,95,63,3.94,broken clouds
376,Chlórakas,CY,34.8042,32.4083,56.28,82,20,8.05,few clouds
377,Agadir,MA,30.4202,-9.5982,64.85,85,65,2.71,broken clouds
378,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,34,75,21.85,broken clouds
379,Charlestown,KN,17.1333,-62.6167,72.91,60,3,6.85,clear sky
